source_name,source_stream,source_type,image_count,active_days,first_date,last_date,open_source_count,mean_width,mean_height,share_of_images,open_source_rate,rank
moberlymonitor.com,gdelt_doc_socialimage,news_image,1,1,2023-04-09,2023-04-09,0,640.0,480.0,0.0006844626967830253,0.0,128
morningstar.com,gdelt_doc_socialimage,news_image,1,1,2025-04-21,2025-04-21,0,768.0,403.0,0.0006844626967830253,0.0,129
mrt.com,gdelt_doc_socialimage,news_image,1,1,2023-05-06,2023-05-06,0,768.0,511.0,0.0006844626967830253,0.0,130
myjoyonline.com,gdelt_doc_socialimage,news_image,1,1,2025-05-15,2025-05-15,0,768.0,862.0,0.0006844626967830253,0.0,131
nairametrics.com,gdelt_doc_socialimage,news_image,1,1,2025-03-01,2025-03-01,0,634.0,325.0,0.0006844626967830253,0.0,132
nasdaq.com,gdelt_doc_socialimage,news_image,1,1,2023-11-10,2023-11-10,0,450.0,300.0,0.0006844626967830253,0.0,133
nbcnewyork.com,gdelt_doc_socialimage,news_image,1,1,2024-04-18,2024-04-18,0,768.0,451.0,0.0006844626967830253,0.0,134
ndtv.com,gdelt_doc_socialimage,news_image,1,1,2022-05-08,2022-05-08,0,650.0,400.0,0.0006844626967830253,0.0,135
neworleanscitybusiness.com,gdelt_doc_socialimage,news_image,1,1,2026-02-17,2026-02-17,0,768.0,512.0,0.0006844626967830253,0.0,136
news.ycwb.com,gdelt_doc_socialimage,news_image,1,1,2025-03-23,2025-03-23,0,300.0,300.0,0.0006844626967830253,0.0,137
news18.com,gdelt_doc_socialimage,news_image,1,1,2024-03-03,2024-03-03,0,320.0,180.0,0.0006844626967830253,0.0,138
palpalindia.com,gdelt_doc_socialimage,news_image,1,1,2023-09-18,2023-09-18,0,768.0,489.0,0.0006844626967830253,0.0,139
pch24.pl,gdelt_doc_socialimage,news_image,1,1,2022-12-15,2022-12-15,0,768.0,438.0,0.0006844626967830253,0.0,140
pna.gov.ph,gdelt_doc_socialimage,news_image,1,1,2022-08-26,2022-08-26,1,720.0,377.0,0.0006844626967830253,1.0,141
quicknews-africa.net,gdelt_doc_socialimage,news_image,1,1,2024-01-07,2024-01-07,0,768.0,576.0,0.0006844626967830253,0.0,142
shippingtribune.com,gdelt_doc_socialimage,news_image,1,1,2023-09-25,2023-09-25,0,200.0,200.0,0.0006844626967830253,0.0,143
stockandland.com.au,gdelt_doc_socialimage,news_image,1,1,2026-02-12,2026-02-12,0,768.0,403.0,0.0006844626967830253,0.0,144
sudouest.fr,gdelt_doc_socialimage,news_image,1,1,2022-10-01,2022-10-01,0,768.0,512.0,0.0006844626967830253,0.0,145
sunnewsonline.com,gdelt_doc_socialimage,news_image,1,1,2023-08-14,2023-08-14,0,512.0,293.0,0.0006844626967830253,0.0,146
thecable.ng,gdelt_doc_socialimage,news_image,1,1,2024-04-11,2024-04-11,0,720.0,470.0,0.0006844626967830253,0.0,147
theeagleonline.com.ng,gdelt_doc_socialimage,news_image,1,1,2023-08-12,2023-08-12,0,768.0,432.0,0.0006844626967830253,0.0,148
theedgemarkets.com,gdelt_doc_socialimage,news_image,1,1,2022-07-02,2022-07-02,0,768.0,512.0,0.0006844626967830253,0.0,149
thehindu.com,gdelt_doc_socialimage,news_image,1,1,2022-10-17,2022-10-17,0,768.0,494.0,0.0006844626967830253,0.0,150
thenationonlineng.net,gdelt_doc_socialimage,news_image,1,1,2025-10-11,2025-10-11,0,600.0,400.0,0.0006844626967830253,0.0,151
tozsdeforum.hu,gdelt_doc_socialimage,news_image,1,1,2023-03-27,2023-03-27,0,768.0,576.0,0.0006844626967830253,0.0,152
trend.az,gdelt_doc_socialimage,news_image,1,1,2025-12-14,2025-12-14,0,768.0,547.0,0.0006844626967830253,0.0,153
trinidadexpress.com,gdelt_doc_socialimage,news_image,1,1,2026-02-10,2026-02-10,0,768.0,403.0,0.0006844626967830253,0.0,154
tunisienumerique.com,gdelt_doc_socialimage,news_image,1,1,2025-10-20,2025-10-20,0,768.0,433.0,0.0006844626967830253,0.0,155
youm7.com,gdelt_doc_socialimage,news_image,1,1,2025-02-23,2025-02-23,0,380.0,200.0,0.0006844626967830253,0.0,156
